tVal2,tVal3,tVal4,tVal5,tVal6,tVal7,ax,ay,az,gx,gy,gz,face,,
1,1,1,1,1,0,0,-0.65,0.75,-6669.06,-33080.45,-8854.7,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.47,-0.15,0.73,-78184.29,2214.27,50868.58,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.41,0.43,0.84,23044.64,3011.22,-24154.17,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.36,0.17,0.7,32934.9,-44867.62,-19971.39,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.37,-0.2,0.62,36084.51,41803.91,12963.51,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.11,-0.35,0.91,-59186.42,-579.81,33495.62,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.41,0.29,0.76,-21598.69,-42739.25,-12522.08,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.54,-0.16,0.86,74404.76,14447.64,-9821.06,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.04,-0.35,0.86,-19957.07,32708.22,34170.88,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.3,-0.11,0.87,-7473.17,-18888.12,-20947.29,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.79,0.67,0.71,-1808.64,8143.65,-3297.55,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.64,0.57,0.62,53333.39,-64318.85,-11274.17,6,,
,,,,,,,,,,,,,,
1,1,0,1,1,0,-0.52,-0.83,0.63,8935.82,14168.47,35249.38,6,,
,,,,,,,,,,,,,,
1,0,1,1,1,0,0.33,-0.63,0.93,-29930.84,30746.87,48876.22,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.27,-0.01,0.87,-17926.53,-35645.47,-16666.69,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.02,0.28,0.88,22531.64,-46869.54,-22896.71,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.55,-0.5,0.64,67184.52,22207.13,12853.75,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.26,-0.21,0.82,-63822.55,3657.84,34636.16,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.43,0.76,0.63,3268.91,-10178.97,-16638.05,6,,
,,,,,,,,,,,,,,
